namespace,pod,phase,start,finish
ns-16904374776309414,instance-1724-0,Running,2023-11-11 23:00:00+09:00,2023-11-12 00:45:00+09:00
ns-16904374776309414,instance-1725-0,Running,2023-11-11 23:15:00+09:00,2023-11-12 00:45:00+09:00
ns-16904374776309414,instance-1726-0,Running,2023-11-11 23:15:00+09:00,2023-11-11 23:30:00+09:00
ns-16904374776309414,instance-1727-0,Running,2023-11-11 23:45:00+09:00,2023-11-12 00:30:00+09:00
ns-16904374776309414,instance-1729-0,Pending,2023-11-12 00:00:00+09:00,2023-11-12 00:15:00+09:00
ns-16904374776309414,instance-1729-0,Running,2023-11-12 00:15:00+09:00,2023-11-12 00:45:00+09:00
ns-16904374776309414,instance-1730-0,Pending,2023-11-12 00:30:00+09:00,2023-11-12 01:00:00+09:00
ns-16904374776309414,instance-1731-0,Pending,2023-11-12 00:30:00+09:00,2023-11-12 01:00:00+09:00
ns-16904374776309414,instance-1732-0,Pending,2023-11-12 00:45:00+09:00,2023-11-12 01:00:00+09:00
ns-16904374776309414,instance-1733-0,Pending,2023-11-12 00:45:00+09:00,2023-11-12 01:00:00+09:00
ns-16904374776309414,instance-1734-0,Pending,2023-11-12 00:45:00+09:00,2023-11-12 01:00:00+09:00
ns-16904374776309414,instance-1735-0,Pending,2023-11-12 01:00:00+09:00,2023-11-12 01:30:00+09:00
ns-16904374776309414,instance-1736-0,Running,2023-11-12 01:00:00+09:00,2023-11-12 01:30:00+09:00
ns-16904374776309414,instance-1737-0,Pending,2023-11-12 01:00:00+09:00,2023-11-12 01:15:00+09:00
ns-16904374776309414,instance-1737-0,Running,2023-11-12 01:15:00+09:00,2023-11-12 01:30:00+09:00
ns-16904374776309414,instance-1738-0,Running,2023-11-12 02:00:00+09:00,2023-11-12 02:15:00+09:00
ns-16904374776309414,instance-1739-0,Pending,2023-11-12 02:00:00+09:00,2023-11-12 02:15:00+09:00
ns-16904374776309414,instance-1740-0,Pending,2023-11-12 02:00:00+09:00,2023-11-12 02:15:00+09:00
ns-16904374776309414,instance-1741-0,Pending,2023-11-12 02:00:00+09:00,2023-11-12 02:15:00+09:00
ns-16904374776309414,instance-1741-0,Running,2023-11-12 02:15:00+09:00,2023-11-12 13:30:00+09:00
ns-16904374776309414,instance-1742-0,Running,2023-11-12 02:30:00+09:00,2023-11-12 11:15:00+09:00
ns-16904374776309414,instance-1743-0,Running,2023-11-12 02:30:00+09:00,2023-11-12 11:15:00+09:00
ns-16904374776309414,instance-1744-0,Running,2023-11-12 02:45:00+09:00,2023-11-12 11:15:00+09:00
ns-16904374776309414,instance-1745-0,Running,2023-11-12 11:15:00+09:00,2023-11-12 11:45:00+09:00
ns-16904374776309414,instance-1746-0,Pending,2023-11-12 11:15:00+09:00,2023-11-12 11:30:00+09:00
ns-16904374776309414,instance-1746-0,Running,2023-11-12 11:30:00+09:00,2023-11-12 11:45:00+09:00
ns-16904374776309414,instance-1747-0,Running,2023-11-12 11:15:00+09:00,2023-11-12 11:45:00+09:00
ns-16904374776309414,instance-1748-0,Running,2023-11-12 11:45:00+09:00,2023-11-12 12:15:00+09:00
ns-16904374776309414,instance-1749-0,Running,2023-11-12 11:45:00+09:00,2023-11-12 12:15:00+09:00
ns-16904374776309414,instance-1750-0,Running,2023-11-12 12:30:00+09:00,2023-11-12 13:15:00+09:00
ns-16904374776309414,instance-1751-0,Running,2023-11-12 12:30:00+09:00,2023-11-12 13:15:00+09:00
ns-16904374776309414,instance-1752-0,Pending,2023-11-12 13:00:00+09:00,2023-11-12 13:30:00+09:00
ns-16904374776309414,instance-1753-0,Pending,2023-11-12 13:00:00+09:00,2023-11-12 13:30:00+09:00
ns-16904374776309414,instance-1755-0,Running,2023-11-12 13:30:00+09:00,2023-11-12 15:00:00+09:00
